----------Profiling Report for PKPD2_20p----------
Vector Size: 55; Interval: 0.01018667221069336; Reduction: 8.035305738449097
Vector Size: 4355; Interval: 0.9355001449584961; Reduction: 0
Vector Size: 4405; Interval: 0.8024082183837891; Reduction: 0
Vector Size: 4455; Interval: 0.8017325401306152; Reduction: 0
Vector Size: 4505; Interval: 0.8104262351989746; Reduction: 0
Vector Size: 4555; Interval: 0.978107213973999; Reduction: 0
Vector Size: 4605; Interval: 0.9386372566223145; Reduction: 0
Vector Size: 4655; Interval: 0.8895180225372314; Reduction: 0
Vector Size: 4705; Interval: 0.842597484588623; Reduction: 0
Vector Size: 4755; Interval: 0.8054366111755371; Reduction: 0
Vector Size: 4805; Interval: 0.8828589916229248; Reduction: 0
Vector Size: 4855; Interval: 0.8019294738769531; Reduction: 0
Vector Size: 4905; Interval: 0.8441696166992188; Reduction: 0
Vector Size: 4955; Interval: 0.8982212543487549; Reduction: 0
Vector Size: 5005; Interval: 0.8100042343139648; Reduction: 0
Vector Size: 5055; Interval: 0.8122668266296387; Reduction: 0
Vector Size: 5105; Interval: 0.8204975128173828; Reduction: 0
Vector Size: 5155; Interval: 1.0170745849609375; Reduction: 0
Vector Size: 5205; Interval: 0.8846035003662109; Reduction: 0
Vector Size: 5255; Interval: 0.8363573551177979; Reduction: 0
Vector Size: 5305; Interval: 0.8567996025085449; Reduction: 0
Vector Size: 5355; Interval: 0.893568754196167; Reduction: 0
Vector Size: 5405; Interval: 0.8710761070251465; Reduction: 0
Vector Size: 5455; Interval: 0.8738951683044434; Reduction: 0
Vector Size: 5505; Interval: 0.900749921798706; Reduction: 0
Vector Size: 5555; Interval: 1.168440341949463; Reduction: 0
Vector Size: 5605; Interval: 1.028113603591919; Reduction: 0
Vector Size: 5655; Interval: 0.9400560855865479; Reduction: 0
Vector Size: 5705; Interval: 1.025054931640625; Reduction: 0
Vector Size: 5755; Interval: 0.9697909355163574; Reduction: 0
Vector Size: 5805; Interval: 0.9975128173828125; Reduction: 0
Vector Size: 5855; Interval: 1.0320014953613281; Reduction: 0
Vector Size: 5905; Interval: 1.219635248184204; Reduction: 0
Vector Size: 5955; Interval: 1.0676610469818115; Reduction: 0
Vector Size: 6005; Interval: 0.9842312335968018; Reduction: 0
Vector Size: 6055; Interval: 0.9636025428771973; Reduction: 0
Vector Size: 6105; Interval: 0.9887192249298096; Reduction: 0
Vector Size: 6155; Interval: 0.9947524070739746; Reduction: 0
Vector Size: 6205; Interval: 1.0385136604309082; Reduction: 0
Vector Size: 6255; Interval: 1.012688159942627; Reduction: 0
Vector Size: 6305; Interval: 1.1484670639038086; Reduction: 0
Vector Size: 6355; Interval: 1.0978052616119385; Reduction: 0
Vector Size: 6405; Interval: 1.042464256286621; Reduction: 0
Vector Size: 6455; Interval: 1.2304744720458984; Reduction: 0
Vector Size: 6505; Interval: 1.076831579208374; Reduction: 0
Vector Size: 6555; Interval: 1.0260143280029297; Reduction: 0
Vector Size: 6605; Interval: 1.0400984287261963; Reduction: 0
Vector Size: 6655; Interval: 1.0581471920013428; Reduction: 0
Vector Size: 6705; Interval: 1.0633153915405273; Reduction: 0
Vector Size: 6755; Interval: 1.0680925846099854; Reduction: 0
Vector Size: 6805; Interval: 1.119030237197876; Reduction: 0
Vector Size: 6855; Interval: 1.3972280025482178; Reduction: 0
Vector Size: 6905; Interval: 1.418039083480835; Reduction: 0
Vector Size: 6955; Interval: 1.3177509307861328; Reduction: 0
Vector Size: 7005; Interval: 1.3229918479919434; Reduction: 0
Vector Size: 7055; Interval: 1.3195343017578125; Reduction: 0
Vector Size: 7105; Interval: 1.3249092102050781; Reduction: 0
Vector Size: 7155; Interval: 1.3458194732666016; Reduction: 0
Vector Size: 7205; Interval: 1.3445460796356201; Reduction: 0
Vector Size: 7255; Interval: 1.3388111591339111; Reduction: 0
Vector Size: 7305; Interval: 1.4415524005889893; Reduction: 0
Vector Size: 7355; Interval: 1.3777775764465332; Reduction: 0
Vector Size: 7405; Interval: 1.3534502983093262; Reduction: 0
Vector Size: 7455; Interval: 1.366138219833374; Reduction: 0
Vector Size: 7505; Interval: 1.2743690013885498; Reduction: 0
Vector Size: 7555; Interval: 1.3473470211029053; Reduction: 0
Vector Size: 7605; Interval: 1.3160288333892822; Reduction: 0
Vector Size: 7655; Interval: 1.306666374206543; Reduction: 0
Vector Size: 7705; Interval: 1.4251344203948975; Reduction: 0
Vector Size: 7755; Interval: 1.362919569015503; Reduction: 0
Vector Size: 7805; Interval: 1.375589370727539; Reduction: 0
Vector Size: 7855; Interval: 1.3680474758148193; Reduction: 0
Vector Size: 7905; Interval: 1.3764066696166992; Reduction: 0
Vector Size: 7955; Interval: 1.2965729236602783; Reduction: 0
Vector Size: 8005; Interval: 1.411757230758667; Reduction: 0
Vector Size: 8055; Interval: 1.306384801864624; Reduction: 0
Vector Size: 8105; Interval: 1.3075380325317383; Reduction: 0
Vector Size: 8155; Interval: 1.2598917484283447; Reduction: 0
Vector Size: 8205; Interval: 1.374013900756836; Reduction: 0
Vector Size: 8255; Interval: 1.6575384140014648; Reduction: 0
Vector Size: 8305; Interval: 1.6397349834442139; Reduction: 0
Vector Size: 8355; Interval: 1.629410743713379; Reduction: 0
Vector Size: 8405; Interval: 1.4591906070709229; Reduction: 0
Vector Size: 8455; Interval: 1.4808704853057861; Reduction: 0
Vector Size: 8505; Interval: 1.484621286392212; Reduction: 0
Vector Size: 8555; Interval: 1.5332581996917725; Reduction: 0
Vector Size: 8605; Interval: 1.4909253120422363; Reduction: 0
Vector Size: 8655; Interval: 1.552415370941162; Reduction: 0
Vector Size: 8705; Interval: 1.6409075260162354; Reduction: 0
Vector Size: 8755; Interval: 1.6636292934417725; Reduction: 0
Vector Size: 8805; Interval: 1.632314920425415; Reduction: 0
Vector Size: 8855; Interval: 1.6261446475982666; Reduction: 0
Vector Size: 8905; Interval: 1.7016477584838867; Reduction: 0
Vector Size: 8955; Interval: 1.4861135482788086; Reduction: 0
Vector Size: 9005; Interval: 1.7611241340637207; Reduction: 0
Vector Size: 9055; Interval: 1.6969807147979736; Reduction: 0
Vector Size: 9105; Interval: 1.5920159816741943; Reduction: 0
Vector Size: 9155; Interval: 1.5949697494506836; Reduction: 0
Vector Size: 9205; Interval: 1.562635898590088; Reduction: 0
Vector Size: 9255; Interval: 1.5446796417236328; Reduction: 0
Vector Size: 9305; Interval: 2.909820318222046; Reduction: 0
Vector Size: 9355; Interval: 2.928102970123291; Reduction: 0
Vector Size: 9405; Interval: 2.9248828887939453; Reduction: 0
Vector Size: 9455; Interval: 2.6019692420959473; Reduction: 0
Vector Size: 9505; Interval: 2.595519781112671; Reduction: 0
Vector Size: 9555; Interval: 1.5411920547485352; Reduction: 0
Vector Size: 9605; Interval: 1.5735278129577637; Reduction: 0
Vector Size: 9655; Interval: 1.680675983428955; Reduction: 0
Vector Size: 9705; Interval: 1.6729791164398193; Reduction: 0
Vector Size: 9755; Interval: 1.77815842628479; Reduction: 0
Vector Size: 9805; Interval: 2.647014617919922; Reduction: 0
Vector Size: 9855; Interval: 1.7064213752746582; Reduction: 0
Vector Size: 9905; Interval: 1.6656949520111084; Reduction: 0
Vector Size: 9955; Interval: 1.6298942565917969; Reduction: 0
Vector Size: 10005; Interval: 1.6002628803253174; Reduction: 0


Total Time:  3677.158193588257

