----------Profiling Report for PKPD2_20p----------
Vector Size: 55; Interval: 0.008832931518554688; Reduction: 0.4029393196105957
Vector Size: 5905; Interval: 0.9574649333953857; Reduction: 0
Vector Size: 5955; Interval: 0.9524314403533936; Reduction: 0
Vector Size: 6005; Interval: 0.9849419593811035; Reduction: 0
Vector Size: 6055; Interval: 0.9258184432983398; Reduction: 0
Vector Size: 6105; Interval: 1.0328435897827148; Reduction: 0
Vector Size: 6155; Interval: 0.9900755882263184; Reduction: 0
Vector Size: 6205; Interval: 1.0109317302703857; Reduction: 0
Vector Size: 6255; Interval: 0.9627454280853271; Reduction: 0
Vector Size: 6305; Interval: 1.0196058750152588; Reduction: 0
Vector Size: 6355; Interval: 1.0042080879211426; Reduction: 0
Vector Size: 6405; Interval: 1.0503993034362793; Reduction: 0
Vector Size: 6455; Interval: 1.1104350090026855; Reduction: 0
Vector Size: 6505; Interval: 1.0156285762786865; Reduction: 0
Vector Size: 6555; Interval: 1.0776631832122803; Reduction: 0
Vector Size: 6605; Interval: 1.0631897449493408; Reduction: 0
Vector Size: 6655; Interval: 1.1311182975769043; Reduction: 0
Vector Size: 6705; Interval: 1.0646202564239502; Reduction: 0
Vector Size: 6755; Interval: 1.1432557106018066; Reduction: 0
Vector Size: 6805; Interval: 1.0697979927062988; Reduction: 0
Vector Size: 6855; Interval: 1.0918033123016357; Reduction: 0
Vector Size: 6905; Interval: 1.082322120666504; Reduction: 0
Vector Size: 6955; Interval: 1.0622761249542236; Reduction: 0
Vector Size: 7005; Interval: 1.123004674911499; Reduction: 0
Vector Size: 7055; Interval: 1.059185266494751; Reduction: 0
Vector Size: 7105; Interval: 1.1487505435943604; Reduction: 0
Vector Size: 7155; Interval: 1.1990180015563965; Reduction: 0
Vector Size: 7205; Interval: 1.2247018814086914; Reduction: 0
Vector Size: 7255; Interval: 1.1518659591674805; Reduction: 0
Vector Size: 7305; Interval: 1.190378189086914; Reduction: 0
Vector Size: 7355; Interval: 1.2037675380706787; Reduction: 0
Vector Size: 7405; Interval: 1.116792917251587; Reduction: 0
Vector Size: 7455; Interval: 1.1402006149291992; Reduction: 0
Vector Size: 7505; Interval: 1.2075393199920654; Reduction: 0
Vector Size: 7555; Interval: 1.1995494365692139; Reduction: 0
Vector Size: 7605; Interval: 1.174548625946045; Reduction: 0
Vector Size: 7655; Interval: 1.2100765705108643; Reduction: 0
Vector Size: 7705; Interval: 1.2181649208068848; Reduction: 0
Vector Size: 7755; Interval: 1.2710261344909668; Reduction: 0
Vector Size: 7805; Interval: 1.1847970485687256; Reduction: 0
Vector Size: 7855; Interval: 1.1821608543395996; Reduction: 0
Vector Size: 7905; Interval: 1.257911205291748; Reduction: 0
Vector Size: 7955; Interval: 1.3062310218811035; Reduction: 0
Vector Size: 8005; Interval: 1.3116867542266846; Reduction: 0
Vector Size: 8055; Interval: 1.2236204147338867; Reduction: 0
Vector Size: 8105; Interval: 1.2841620445251465; Reduction: 0
Vector Size: 8155; Interval: 1.3381340503692627; Reduction: 0
Vector Size: 8205; Interval: 1.2472608089447021; Reduction: 0
Vector Size: 8255; Interval: 1.385584831237793; Reduction: 0
Vector Size: 8305; Interval: 1.2604589462280273; Reduction: 0
Vector Size: 8355; Interval: 1.3674068450927734; Reduction: 0
Vector Size: 8405; Interval: 1.284498691558838; Reduction: 0
Vector Size: 8455; Interval: 1.3066725730895996; Reduction: 0
Vector Size: 8505; Interval: 1.4137840270996094; Reduction: 0
Vector Size: 8555; Interval: 1.412097454071045; Reduction: 0
Vector Size: 8605; Interval: 1.4503695964813232; Reduction: 0
Vector Size: 8655; Interval: 1.4113726615905762; Reduction: 0
Vector Size: 8705; Interval: 1.485273838043213; Reduction: 0
Vector Size: 8755; Interval: 1.5077776908874512; Reduction: 0
Vector Size: 8805; Interval: 1.4666986465454102; Reduction: 0
Vector Size: 8855; Interval: 1.5576212406158447; Reduction: 0
Vector Size: 8905; Interval: 1.5712308883666992; Reduction: 0
Vector Size: 8955; Interval: 1.40256667137146; Reduction: 0
Vector Size: 9005; Interval: 1.4887263774871826; Reduction: 0
Vector Size: 9055; Interval: 1.3987853527069092; Reduction: 0
Vector Size: 9105; Interval: 1.5327861309051514; Reduction: 0
Vector Size: 9155; Interval: 1.5429878234863281; Reduction: 0
Vector Size: 9205; Interval: 1.4601550102233887; Reduction: 0
Vector Size: 9255; Interval: 1.4850895404815674; Reduction: 0
Vector Size: 9305; Interval: 1.5450007915496826; Reduction: 0
Vector Size: 9355; Interval: 1.5224919319152832; Reduction: 0
Vector Size: 9405; Interval: 1.5637028217315674; Reduction: 0
Vector Size: 9455; Interval: 1.4715237617492676; Reduction: 0
Vector Size: 9505; Interval: 1.4997706413269043; Reduction: 0
Vector Size: 9555; Interval: 1.5156466960906982; Reduction: 0
Vector Size: 9605; Interval: 1.519838809967041; Reduction: 0
Vector Size: 9655; Interval: 1.5106968879699707; Reduction: 0
Vector Size: 9705; Interval: 1.5845856666564941; Reduction: 0
Vector Size: 9755; Interval: 1.6114568710327148; Reduction: 0
Vector Size: 9805; Interval: 1.6372644901275635; Reduction: 0
Vector Size: 9855; Interval: 1.6102404594421387; Reduction: 0
Vector Size: 9905; Interval: 1.6208763122558594; Reduction: 0
Vector Size: 9955; Interval: 1.5976955890655518; Reduction: 0
Vector Size: 10005; Interval: 1.5614259243011475; Reduction: 0


Total Time:  1768.33424949646

